model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m,group,run_name,summary_file
particle,16.0,0.9375,9.53770558092323,0.1275468999519944,7.971681246999651,2735.430567123661,4.691144311165916,6.655170148814351,180Turn,log_turn180_1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_1_summary.csv
discrete_bayes,16.0,0.9375,9.12909736785568,0.0477819999214261,2.986374995089136,62.4375,4.417610413954613,6.389986187259527,180Turn,log_turn180_1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_1_summary.csv
particle,11.0,1.0,6.477967622999517,0.1124658999033272,10.224172718484294,2609.731212817029,4.268882091022519,4.85143735799076,180Turn,log_turn180_2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_2_summary.csv
discrete_bayes,11.0,1.0,5.753036162449595,0.0351489998865872,3.1953636260533878,66.9090909090909,4.710105870361945,5.289569724350115,180Turn,log_turn180_2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_2_summary.csv
discrete_bayes,13.5,0.96875,7.441066765152637,0.0414654999040066,3.0908693105712617,64.67329545454545,4.563858142158279,5.839777955804822,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,13.5,0.96875,8.007836601961374,0.1200063999276608,9.097926982741972,2672.580889970345,4.480013201094217,5.753303753402555,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
discrete_bayes,6.75,0.7421875,3.5279185156170434,0.0222962624102364,2.3746237445514207,46.50686553030303,3.8722746753653103,4.3775830293941205,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,6.75,0.7109375,3.851526505798101,0.0608399125339928,6.824409356230524,2001.3794810172567,3.866654776437625,4.085687122488938,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
discrete_bayes,5.0,1.0,2.422563004281675,0.0148247499018907,2.9169999761506915,42.33333333333333,3.205298723047184,5.106537195613029,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,5.0,0.875,2.500275390876556,0.0435380500275641,8.98024584360731,2628.6512240989227,2.9722038483681423,5.178725203911755,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0034294498618691,0.0,0.0,,,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,0.0,0.0,0.0,0.0019098500488325,0.0,0.0,,,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
discrete_bayes,8.5,1.0,4.24804429303386,0.0294653499731793,3.4906256914837286,79.02083333333333,3.847667160890469,2.1864339367645096,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,8.5,1.0,4.8979940303544725,0.0779053501319139,9.219464598572811,2704.2858099997597,4.147747279850513,1.3250324101525055,outputs,final_results_grouped,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
particle,16.0,0.9375,9.53770558092323,0.1275468999519944,7.971681246999651,2735.430567123661,4.691144311165916,6.655170148814351,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,16.0,0.9375,9.12909736785568,0.0477819999214261,2.986374995089136,62.4375,4.417610413954613,6.389986187259527,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,11.0,1.0,6.477967622999517,0.1124658999033272,10.224172718484294,2609.731212817029,4.268882091022519,4.85143735799076,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,11.0,1.0,5.753036162449595,0.0351489998865872,3.195363626053388,66.9090909090909,4.710105870361945,5.289569724350115,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,13.5,0.96875,7.441066765152637,0.0414654999040066,3.0908693105712617,64.67329545454545,4.563858142158279,5.839777955804822,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,13.5,0.96875,8.007836601961374,0.1200063999276608,9.097926982741972,2672.580889970345,4.480013201094217,5.753303753402555,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,5.0,1.0,2.422563004281675,0.0148247499018907,2.9169999761506915,42.33333333333333,3.205298723047184,5.106537195613029,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,5.0,0.875,2.500275390876556,0.0435380500275641,8.98024584360731,2628.6512240989227,2.9722038483681423,5.178725203911755,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0034294498618691,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,0.0,0.0,0.0,0.0019098500488325,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,8.5,1.0,4.24804429303386,0.0294653499731793,3.4906256914837286,79.02083333333333,3.847667160890469,2.1864339367645096,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,8.5,1.0,4.8979940303544725,0.0779053501319139,9.219464598572811,2704.28580999976,4.147747279850513,1.3250324101525055,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,16.0,0.9375,9.53770558092323,0.1275468999519944,7.971681246999651,2735.430567123661,4.691144311165916,6.655170148814351,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,16.0,0.9375,9.12909736785568,0.0477819999214261,2.986374995089136,62.4375,4.417610413954613,6.389986187259527,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,11.0,1.0,6.477967622999517,0.1124658999033272,10.224172718484294,2609.731212817029,4.268882091022519,4.85143735799076,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,11.0,1.0,5.753036162449595,0.0351489998865872,3.195363626053388,66.9090909090909,4.710105870361945,5.289569724350115,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,6.0,1.0,3.1858269496641745,0.0457023999188095,7.617066653134922,2606.785599014865,2.420683682418676,5.048331882154359,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,6.0,1.0,2.978787177374325,0.0189404999837279,3.1567499972879887,55.16666666666666,2.9222095505405288,5.009077481004819,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,4.0,0.75,1.814723832088936,0.0413737001363188,10.3434250340797,2650.5168491829804,3.5237240143176094,5.309118525669151,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,4.0,1.0,1.8663388311890243,0.0107089998200535,2.6772499550133944,29.5,3.4883878955538394,5.203996910221239,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,0.0,0.0,0.0,0.0008174001704901,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0008008999284356,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,0.0,0.0,0.0,0.003002299927175,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0060579997953027,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,8.0,1.0,4.545036838866434,0.0811173000838607,10.139662510482594,2747.9848982372287,4.10751696265817,1.692860046329303,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,8.0,1.0,4.108926885647533,0.0312045000027865,3.900562500348314,94.375,3.9730927224389454,2.2888267554921136,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,9.0,1.0,5.250951221842511,0.0746934001799672,8.299266686663032,2660.5867217622904,4.187977597042856,0.957204773975708,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,9.0,1.0,4.387161700420186,0.0277261999435722,3.0806888826191425,63.66666666666666,3.722241599341992,2.0840411180369056,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,6.0,1.0,3.1858269496641745,0.0457023999188095,7.617066653134922,2606.785599014865,2.420683682418676,5.048331882154359,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,6.0,1.0,2.978787177374325,0.0189404999837279,3.1567499972879887,55.16666666666666,2.9222095505405288,5.009077481004819,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,4.0,0.75,1.814723832088936,0.0413737001363188,10.3434250340797,2650.5168491829804,3.5237240143176094,5.309118525669151,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,4.0,1.0,1.8663388311890243,0.0107089998200535,2.6772499550133944,29.5,3.4883878955538394,5.203996910221239,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,0.0,0.0,0.0,0.0008174001704901,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0008008999284356,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,0.0,0.0,0.0,0.003002299927175,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0060579997953027,0.0,0.0,,,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,8.0,1.0,4.545036838866434,0.0811173000838607,10.139662510482594,2747.9848982372287,4.10751696265817,1.692860046329303,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,8.0,1.0,4.108926885647533,0.0312045000027865,3.900562500348314,94.375,3.9730927224389454,2.2888267554921136,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,9.0,1.0,5.250951221842511,0.0746934001799672,8.299266686663032,2660.5867217622904,4.187977597042856,0.957204773975708,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
discrete_bayes,9.0,1.0,4.387161700420186,0.0277261999435722,3.0806888826191425,63.66666666666666,3.722241599341992,2.0840411180369056,outputs,final_results,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
particle,6.0,1.0,3.1858269496641745,0.0457023999188095,7.617066653134922,2606.785599014865,2.4206836824186757,5.048331882154359,shortTurn,log_short_turn1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn1_summary.csv
discrete_bayes,6.0,1.0,2.978787177374325,0.0189404999837279,3.1567499972879887,55.16666666666666,2.9222095505405288,5.009077481004819,shortTurn,log_short_turn1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn1_summary.csv
particle,4.0,0.75,1.814723832088936,0.0413737001363188,10.3434250340797,2650.5168491829804,3.5237240143176094,5.309118525669151,shortTurn,log_short_turn2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn2_summary.csv
discrete_bayes,4.0,1.0,1.8663388311890243,0.0107089998200535,2.6772499550133944,29.5,3.4883878955538394,5.203996910221239,shortTurn,log_short_turn2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn2_summary.csv
particle,0.0,0.0,0.0,0.0008174001704901,0.0,0.0,,,still,log_still2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still2_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0008008999284356,0.0,0.0,,,still,log_still2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still2_summary.csv
particle,0.0,0.0,0.0,0.003002299927175,0.0,0.0,,,still,log_still,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still_summary.csv
discrete_bayes,0.0,0.0,0.0,0.0060579997953027,0.0,0.0,,,still,log_still,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still_summary.csv
particle,8.0,1.0,4.545036838866434,0.0811173000838607,10.139662510482594,2747.9848982372287,4.10751696265817,1.692860046329303,walk,log_walk1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk1_summary.csv
discrete_bayes,8.0,1.0,4.108926885647533,0.0312045000027865,3.900562500348314,94.375,3.9730927224389454,2.2888267554921136,walk,log_walk1,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk1_summary.csv
particle,9.0,1.0,5.250951221842511,0.0746934001799672,8.299266686663032,2660.5867217622904,4.187977597042856,0.957204773975708,walk,log_walk2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk2_summary.csv
discrete_bayes,9.0,1.0,4.387161700420186,0.0277261999435722,3.0806888826191425,63.66666666666666,3.722241599341992,2.0840411180369056,walk,log_walk2,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk2_summary.csv
